"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Wicker Sun Beds","Default Category/Products","224","Yes","wicker-sun-beds","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Sofas","Default Category/Products","223","Yes","wicker-sofas","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Furniture Collections","Default Category/Products","207","Yes","wicker-outdoor-furniture-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Furniture Clearance","Default Category/Products","206","Yes","wicker-outdoor-furniture-clearance","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Set of 3","Default Category/Products","190","Yes","wicker-furniture-set-of-3","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Sales","Default Category/Products","189","Yes","wicker-furniture-sales","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Outlet","Default Category/Products","188","Yes","wicker-furniture-outlet","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Online","Default Category/Products","187","Yes","wicker-furniture-online","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Manufacturers","Default Category/Products","186","Yes","wicker-furniture-manufacturers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture for Sale","Default Category/Products","185","Yes","wicker-furniture-for-sale","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Covers","Default Category/Products","184","Yes","wicker-furniture-covers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Collections","Default Category/Products","183","Yes","wicker-furniture-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture","Default Category/Products","182","Yes","wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Essentials","Default Category/Products","181","Yes","wicker-essentials","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker End Tables","Default Category/Products","180","Yes","wicker-end-tables","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Discount Outdoor Furniture","Default Category/Products","179","Yes","wicker-discount-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Set of 5","Default Category/Products","191","Yes","wicker-furniture-set-of-5","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Set of 7","Default Category/Products","192","Yes","wicker-furniture-set-of-7","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Sets","Default Category/Products","193","Yes","wicker-furniture-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Furniture","Default Category/Products","205","Yes","wicker-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Outdoor Chairs","Default Category/Products","204","Yes","wicker-outdoor-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Occasional Chairs","Default Category/Products","203","Yes","wicker-occasional-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Lounge Furniture","Default Category/Products","202","Yes","wicker-lounge-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Lawn Furniture","Default Category/Products","201","Yes","wicker-lawn-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Lawn and Garden","Default Category/Products","200","Yes","wicker-lawn-and-garden","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Gliders","Default Category/Products","199","Yes","wicker-gliders","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Glider Seating","Default Category/Products","198","Yes","wicker-glider-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Garden Furniture","Default Category/Products","197","Yes","wicker-garden-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture World","Default Category/Products","196","Yes","wicker-furniture-world","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Warehouse","Default Category/Products","195","Yes","wicker-furniture-warehouse","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Furniture Store","Default Category/Products","194","Yes","wicker-furniture-store","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Dining Sets","Default Category/Products","178","Yes","wicker-dining-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture Manufacturers","Default Category/Products","118","Yes","outdoor-patio-furniture-manufacturers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"End Tables","Default Category/Products","58","Yes","end-tables","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Contemporary Wicker Furniture","Default Category/Products","42","Yes","contemporary-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Contemporary Furniture","Default Category/Products","41","Yes","contemporary-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Coastal Wicker Furniture","Default Category/Products","40","Yes","coastal-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Coastal Living Wicker Furniture","Default Category/Products","39","Yes","coastal-living-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Coastal Living Furniture","Default Category/Products","38","Yes","coastal-living-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Coastal Furniture","Default Category/Products","37","Yes","coastal-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Circular Seating","Default Category/Products","36","Yes","circular-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Wicker Patio Furniture Sets","Default Category/Products","35","Yes","cheap-wicker-patio-furniture-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Wicker Patio Furniture","Default Category/Products","34","Yes","cheap-wicker-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Wicker Furniture","Default Category/Products","33","Yes","cheap-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Patio Furniture Sets","Default Category/Products","32","Yes","cheap-patio-furniture-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Patio Furniture","Default Category/Products","31","Yes","cheap-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cottage Furniture","Default Category/Products","43","Yes","cottage-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
